0,1,2,3,4,5,6,7,8,9,10,11,12
1,116,142,162,185,143,155,148,168,117,137,128,173
2,261,200,245,254,227,247,232,275,237,272,224,238
3,333,361,338,389,316,302,371,382,344,324,339,353
4,445,441,421,405,418,493,460,481,471,447,449,472
5,564,504,525,535,528,597,594,581,529,520,561,589
6,666,659,643,673,611,640,692,636,614,677,670,674
7,758,770,730,779,754,753,768,794,792,764,766,735
8,873,804,853,827,812,807,854,810,882,805,843,890
9,954,915,957,977,985,955,956,937,946,931,952,944
10,231,136,215,129,126,293,184,130,288,177,299,153
11,312,274,263,223,278,372,319,399,290,354,239,216
12,492,398,455,349,443,321,445,337,419,437,471,383
13,461,518,493,419,440,599,422,538,563,539,477,558
14,532,596,554,624,669,690,539,621,620,546,691,625
15,755,774,743,745,725,782,662,724,661,634,691,765
16,835,815,811,885,747,876,890,711,877,820,789,830
17,224,160,267,346,233,271,349,167,382,191,360,101
18,267,497,306,326,463,376,226,389,289,392,428,330
19,313,501,314,491,436,422,493,561,564,510,404,597
20,671,593,598,476,479,636,564,400,478,660,647,462
21,583,510,704,523,758,791,668,578,764,540,724,603
22,807,656,866,756,830,848,713,672,744,833,876,869
23,973,740,901,904,993,756,919,839,957,738,943,795
24,1040,1096,1051,1081,1078,1032,1024,1046,1052,1054,1005,1027
25,1148,1106,1168,1124,1107,1147,1122,1140,1166,1109,1131,1104
26,1244,1276,1221,1239,1284,1275,1292,1266,1269,1208,1277,1224
27,1173,1048,1199,1052,1024,1148,1150,1002,1004,1169,1059,1088
28,1357,1362,1389,1327,1351,1397,1385,1314,1318,1364,1343,1301
29,1481,1441,1461,1476,1496,1412,1484,1413,1400,1408,1434,1469
30,1572,1554,1533,1559,1549,1596,1501,1566,1512,1539,1518,1504
31,1629,1626,1628,1632,1625,1691,1606,1645,1612,1623,1631,1642
32,1750,1792,1785,1786,1784,1753,1754,1791,1727,1736,1715,1797
33,1890,1832,1828,1859,1875,1820,1843,1896,1868,1813,1801,1831
34,1965,1969,1918,1985,1996,1961,1990,1956,1975,1953,1984,1939
35,2099,2034,2002,2048,2036,2017,2091,2044,2024,2052,2023,2084
36,2116,2114,2141,2125,2112,2152,2109,2171,2142,2199,2132,2144
37,2273,2299,2270,2238,2268,2255,2291,2260,2262,2288,2226,2216
38,2340,2318,2363,2398,2360,2366,2396,2323,2308,2341,2350,2386
39,2400,2427,2420,2469,2498,2455,2491,2468,2465,2497,2407,2404
40,2582,2510,2542,2530,2585,2571,2548,2541,2558,2521,2505,2590
41,2690,2684,2669,2631,2693,2658,2686,2661,2641,2664,2601,2697
42,2755,2761,2765,2735,2718,2725,2795,2702,2768,2746,2780,2760
43,2835,2847,2895,2883,2810,2879,2806,2813,2808,2888,2825,2870
44,2960,2939,2971,2985,2942,2943,2953,2904,2908,2948,2976,2987
1,116,142,162,185,143,155,148,168,117,137,128,173
2,261,200,245,254,227,247,232,275,237,272,224,238
3,333,361,338,389,316,302,371,382,344,324,339,353
4,445,441,421,405,418,493,460,481,471,447,449,472
5,564,504,525,535,528,597,594,581,529,520,561,589
6,666,659,643,673,611,640,692,636,614,677,670,674
7,758,770,730,779,754,753,768,794,792,764,766,735
8,873,804,853,827,812,807,854,810,882,805,843,890
9,954,915,957,977,985,955,956,937,946,931,952,944
10,231,136,215,129,126,293,184,130,288,177,299,153
11,312,274,263,223,278,372,319,399,290,354,239,216
12,492,398,455,349,443,321,445,337,419,437,471,383
13,461,518,493,419,440,599,422,538,563,539,477,558
14,532,596,554,624,669,690,539,621,620,546,691,625
15,755,774,743,745,725,782,662,724,661,634,691,765
16,835,815,811,885,747,876,890,711,877,820,789,830
17,224,160,267,346,233,271,349,167,382,191,360,101
18,267,497,306,326,463,376,226,389,289,392,428,330
19,313,501,314,491,436,422,493,561,564,510,404,597
20,671,593,598,476,479,636,564,400,478,660,647,462
21,583,510,704,523,758,791,668,578,764,540,724,603
22,807,656,866,756,830,848,713,672,744,833,876,869
23,973,740,901,904,993,756,919,839,957,738,943,795
24,1040,1096,1051,1081,1078,1032,1024,1046,1052,1054,1005,1027
25,1148,1106,1168,1124,1107,1147,1122,1140,1166,1109,1131,1104
26,1244,1276,1221,1239,1284,1275,1292,1266,1269,1208,1277,1224
27,1173,1048,1199,1052,1024,1148,1150,1002,1004,1169,1059,1088
28,1357,1362,1389,1327,1351,1397,1385,1314,1318,1364,1343,1301
29,1481,1441,1461,1476,1496,1412,1484,1413,1400,1408,1434,1469
30,1572,1554,1533,1559,1549,1596,1501,1566,1512,1539,1518,1504
31,1629,1626,1628,1632,1625,1691,1606,1645,1612,1623,1631,1642
32,1750,1792,1785,1786,1784,1753,1754,1791,1727,1736,1715,1797
33,1890,1832,1828,1859,1875,1820,1843,1896,1868,1813,1801,1831
34,1965,1969,1918,1985,1996,1961,1990,1956,1975,1953,1984,1939
35,2099,2034,2002,2048,2036,2017,2091,2044,2024,2052,2023,2084
36,2116,2114,2141,2125,2112,2152,2109,2171,2142,2199,2132,2144
37,2273,2299,2270,2238,2268,2255,2291,2260,2262,2288,2226,2216
38,2340,2318,2363,2398,2360,2366,2396,2323,2308,2341,2350,2386
39,2400,2427,2420,2469,2498,2455,2491,2468,2465,2497,2407,2404
40,2582,2510,2542,2530,2585,2571,2548,2541,2558,2521,2505,2590
41,2690,2684,2669,2631,2693,2658,2686,2661,2641,2664,2601,2697
42,2755,2761,2765,2735,2718,2725,2795,2702,2768,2746,2780,2760
43,2835,2847,2895,2883,2810,2879,2806,2813,2808,2888,2825,2870
44,2960,2939,2971,2985,2942,2943,2953,2904,2908,2948,2976,2987
